secid,date,days,delta,impl_volatility,impl_strike,impl_premium,dispersion,cp_flag,cusip,ticker,sic,index_flag,exchange_d,class,issue_type,industry_group
101375,20190627,10,-90,0.147576,127.5703,4.100949,0.039507,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,10,-85,0.138364,126.6065,3.211643,0.030027,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,10,-80,0.133034,125.9507,2.637063,0.019582,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,10,-75,0.133425,125.4977,2.284314,0.01412,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,10,-70,0.136398,125.12,2.02696,0.01303,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,10,-65,0.139615,124.7579,1.802521,0.012837,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,10,-60,0.142828,124.3986,1.599027,0.012868,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,10,-55,0.146073,124.0358,1.412384,0.012848,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,10,-50,0.149235,123.6627,1.238175,0.012968,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,10,-45,0.152654,123.2738,1.077009,0.013267,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,10,-40,0.15648,122.8602,0.927394,0.0137,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,10,-35,0.160989,122.4092,0.788445,0.014397,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,10,-30,0.166587,121.9012,0.659444,0.015806,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,10,-25,0.174317,121.2983,0.540669,0.019461,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,10,-20,0.186188,120.5232,0.432401,0.02737,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,10,-15,0.203772,119.4535,0.329547,0.038636,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,10,-10,0.225545,117.9403,0.222433,0.048891,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,10,10,0.155664,127.8701,0.147223,0.02229,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,10,15,0.152296,127.0191,0.234394,0.015794,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,10,20,0.152023,126.4195,0.333946,0.012307,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,10,25,0.153344,125.9305,0.447506,0.011527,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,10,30,0.15518,125.5021,0.574748,0.0116,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,10,35,0.157257,125.1026,0.716912,0.011829,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,10,40,0.159596,124.7141,0.875785,0.012136,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,10,45,0.162292,124.3336,1.055265,0.012454,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,10,50,0.165331,123.9447,1.258369,0.01281,C,02581610,AXP,6199,0,1,,0,424
